datum,text,text_right,podil,co
1918-01-01,4,644,0.006211180124223602, [Dd]rahot[auoě]
1919-01-01,70,3946,0.017739483020780537, [Dd]rahot[auoě]
1920-01-01,91,5656,0.01608910891089109, [Dd]rahot[auoě]
1921-01-01,100,7785,0.012845215157353885, [Dd]rahot[auoě]
1922-01-01,109,7580,0.014379947229551451, [Dd]rahot[auoě]
1923-01-01,77,5228,0.014728385615914307, [Dd]rahot[auoě]
1924-01-01,102,5606,0.018194791295041028, [Dd]rahot[auoě]
1925-01-01,107,4541,0.023563091829993395, [Dd]rahot[auoě]
1926-01-01,184,7099,0.02591914354134385, [Dd]rahot[auoě]
1927-01-01,93,6160,0.015097402597402597, [Dd]rahot[auoě]
1928-01-01,130,5941,0.02188183807439825, [Dd]rahot[auoě]
1929-01-01,49,3684,0.013300760043431054, [Dd]rahot[auoě]
1930-01-01,126,7437,0.016942315449778138, [Dd]rahot[auoě]
1931-01-01,49,6002,0.008163945351549483, [Dd]rahot[auoě]
1932-01-01,27,3586,0.007529280535415505, [Dd]rahot[auoě]
1933-01-01,22,4059,0.005420054200542005, [Dd]rahot[auoě]
1934-01-01,30,3242,0.009253547193090685, [Dd]rahot[auoě]
1935-01-01,22,3221,0.006830176963675877, [Dd]rahot[auoě]
1936-01-01,39,3361,0.011603689378161261, [Dd]rahot[auoě]
1937-01-01,24,3087,0.007774538386783284, [Dd]rahot[auoě]
1938-01-01,6,1578,0.0038022813688212928, [Dd]rahot[auoě]
1945-01-01,1,712,0.0014044943820224719, [Dd]rahot[auoě]
1946-01-01,14,2802,0.004996431120628123, [Dd]rahot[auoě]
1947-01-01,14,2481,0.005642885933091495, [Dd]rahot[auoě]
1948-01-01,2,2504,0.0007987220447284345, [Dd]rahot[auoě]
1950-01-01,3,436,0.006880733944954129, [Dd]rahot[auoě]
1951-01-01,2,365,0.005479452054794521, [Dd]rahot[auoě]
1952-01-01,2,387,0.00516795865633075, [Dd]rahot[auoě]
1953-01-01,2,287,0.006968641114982578, [Dd]rahot[auoě]
1960-01-01,1,399,0.002506265664160401, [Dd]rahot[auoě]
1971-01-01,2,865,0.0023121387283236996, [Dd]rahot[auoě]
1972-01-01,3,601,0.004991680532445923, [Dd]rahot[auoě]
1974-01-01,3,803,0.0037359900373599006, [Dd]rahot[auoě]
1975-01-01,2,915,0.002185792349726776, [Dd]rahot[auoě]
1976-01-01,4,662,0.006042296072507553, [Dd]rahot[auoě]
1991-01-01,2,31045,0.00006442261233693027, [Dd]rahot[auoě]
1992-01-01,1,24879,0.00004019454158125327, [Dd]rahot[auoě]
1993-01-01,1,8681,0.00011519410206197443, [Dd]rahot[auoě]
1996-01-01,1,9139,0.000109421162052741, [Dd]rahot[auoě]
1997-01-01,1,15895,0.00006291286568103177, [Dd]rahot[auoě]
1998-01-01,1,11413,0.00008761938140716727, [Dd]rahot[auoě]
2000-01-01,2,22514,0.00008883361463977969, [Dd]rahot[auoě]
2008-01-01,1,14013,0.00007136230642974381, [Dd]rahot[auoě]
2009-01-01,2,16646,0.00012014898474107894, [Dd]rahot[auoě]
2010-01-01,1,12869,0.00007770611547128759, [Dd]rahot[auoě]
2012-01-01,6,14732,0.00040727667662231876, [Dd]rahot[auoě]
2013-01-01,2,9881,0.00020240866309078029, [Dd]rahot[auoě]
2014-01-01,1,20781,0.000048120879649679994, [Dd]rahot[auoě]
2022-01-01,106,20822,0.005090769378541927, [Dd]rahot[auoě]
2023-01-01,93,24959,0.0037261108217476664, [Dd]rahot[auoě]
2024-01-01,53,24168,0.0021929824561403508, [Dd]rahot[auoě]
2025-01-01,25,10482,0.0023850410227055905, [Dd]rahot[auoě]
